group,attribute,value,pct
rail worker,age,35-44 years old,18.11
rail worker,age,45-54 years old,26.67
rail worker,age,55-64 years old,23.82
rail worker,age,65+ years old,11.1
rail worker,race,white,60.39
rail worker,race,black,22.0
rail worker,race,asian,2.47
rail worker,race,hispanic,15.14
rail worker,gender,female,10.84
rail worker,gender,male,89.16
real estate broker,age,0-16 years old,0.0
real estate broker,age,16-24 years old,3.41
real estate broker,age,25-34 years old,13.19
real estate broker,age,35-44 years old,19.57
real estate broker,age,45-54 years old,20.67
real estate broker,age,55-64 years old,22.17
real estate broker,age,65+ years old,21.0
real estate broker,race,white,76.32
real estate broker,race,black,6.37
real estate broker,race,asian,5.98
real estate broker,race,hispanic,11.33
real estate broker,gender,female,56.25
real estate broker,gender,male,43.75
religious leader,age,0-16 years old,0.0
religious leader,age,16-24 years old,6.29
religious leader,age,25-34 years old,15.12
religious leader,age,35-44 years old,18.27
religious leader,age,45-54 years old,17.25
religious leader,age,55-64 years old,20.7
religious leader,age,65+ years old,22.36
religious leader,race,white,70.61
religious leader,race,black,12.99
religious leader,race,asian,6.17
religious leader,race,hispanic,10.23
religious leader,gender,female,40.27
religious leader,gender,male,59.73
sailor,age,0-16 years old,0.0
sailor,age,16-24 years old,19.93
sailor,age,25-34 years old,21.71
sailor,age,35-44 years old,21.5
sailor,age,45-54 years old,13.42
sailor,age,55-64 years old,13.87
sailor,age,65+ years old,9.56
sailor,race,white,75.55
sailor,race,black,11.55
sailor,race,asian,4.47
sailor,race,hispanic,8.43
sailor,gender,female,7.13
sailor,gender,male,92.87
salesperson,age,0-16 years old,0.0
salesperson,age,16-24 years old,20.1
salesperson,age,25-34 years old,21.62
